Geneid	F9C3	F9C4	F9D1	F9D3	F9D4
FBgn0000497	310	187	296	263	261
FBgn0266323	0	0	0	0	0
FBgn0011244	216	315	0	1	0
FBgn0026438	2713	2042	2599	2252	2884
FBgn0031275	319	253	311	308	284
FBgn0265825	1	0	0	0	0
FBgn0031276	16	28	2	11	14
FBgn0040725	10	3	1	11	5
FBgn0031277	139	151	241	379	291
FBgn0041250	1	1	2	9	4
FBgn0000442	513	542	538	439	573
FBgn0266797	0	0	0	0	1
FBgn0051658	223	244	278	294	224
FBgn0086130	1066	1109	1167	1301	1024
FBgn0031281	475	544	555	686	489
FBgn0031282	338	472	448	428	395
FBgn0031283	2	2	0	0	0
FBgn0031284	476	451	511	637	439
FBgn0015621	478	559	550	738	452
FBgn0031285	16856	16447	16622	15364	16515
FBgn0031286	550	652	610	638	549
FBgn0010583	2037	1408	1950	2185	1670
FBgn0020304	5588	4217	5370	4835	4977
FBgn0264869	3	1	3	0	1
FBgn0031287	432	542	427	531	408
FBgn0020545	2991	3255	2369	2591	2132
FBgn0031288	7	18	8	13	6
FBgn0266884	9	7	3	5	3
FBgn0262177	0	0	0	0	0
FBgn0031289	79	119	82	71	68
FBgn0029095	1753	1829	1876	1778	1758
FBgn0086031	1	1	8	2	3
FBgn0020305	1098	1368	1213	1353	1067
FBgn0053526	6763	6283	6703	6571	6406
FBgn0031292	35	67	2	2	3
FBgn0002936	511	603	648	516	708
FBgn0266887	0	0	0	0	1
FBgn0002563	32	77	43	51	41
FBgn0003916	1	1	5	7	2
FBgn0266799	4	0	3	4	4
FBgn0264870	1	0	0	1	0
FBgn0046113	270	301	281	270	258
FBgn0028481	464	328	433	337	415
FBgn0266036	0	0	0	0	0
FBgn0031294	12223	6752	8973	7757	10134
FBgn0031295	66	74	0	0	0
FBgn0031296	103	49	15	18	191
FBgn0003310	2698	1835	2720	2684	2189
FBgn0015905	1069	1155	1244	1343	967
FBgn0031298	2169	2235	2375	2368	2311
FBgn0031299	927	986	776	736	843
FBgn0261938	2345	2199	2398	2413	1955
FBgn0031301	15	10	3	3	5
FBgn0031302	18	29	24	24	22
FBgn0016926	11559	11415	11290	10469	10561
FBgn0031304	1823	1744	1861	1922	1560
FBgn0031305	4241	4369	4645	4197	4508
FBgn0031306	3261	2226	2407	2123	2609
FBgn0267281	2	0	0	0	3
FBgn0031307	287	255	255	287	298
FBgn0031308	442	499	427	511	421
FBgn0031309	484	524	496	648	442
FBgn0031310	959	1122	1078	1234	918
FBgn0261458	5690	5638	5986	6520	5569
FBgn0264267	8	7	7	7	4
FBgn0031312	1337	1490	1465	1826	1214
FBgn0031313	2455	3062	2827	2590	2633
FBgn0031314	654	679	683	851	629
FBgn0031315	331	448	403	445	358
FBgn0024314	2982	2965	3200	3628	2586
FBgn0051922	102	139	95	127	122
FBgn0031317	1261	1241	1388	1473	1261
FBgn0031318	2611	2264	2698	2632	2500
FBgn0031319	1214	1260	1200	1349	1203
FBgn0031320	1085	1148	1249	1337	1210
FBgn0031321	716	709	690	703	664
FBgn0031322	1265	1277	1330	1210	1454
FBgn0263080	322	331	997	1100	1844
FBgn0263081	1747	1958	2016	2199	2357
FBgn0040723	1397	1555	1237	1282	1547
FBgn0031324	10	9	14	12	15
FBgn0266885	0	0	0	0	1
FBgn0262944	0	8	0	0	0
FBgn0259229	200	230	289	249	313
FBgn0031327	1160	1521	1511	1294	1413
FBgn0041097	337	240	376	272	365
FBgn0011294	97	44	118	187	167
FBgn0031331	5	6	0	0	0
FBgn0053923	2	0	0	0	0
FBgn0053922	2	0	1	2	0
FBgn0266357	0	0	0	0	1
FBgn0266358	0	2	0	0	0
FBgn0053126	4271	4823	4020	3675	4457
FBgn0031337	10	22	1	2	0
FBgn0266203	0	0	0	0	0
FBgn0002543	442	257	419	394	351
FBgn0266202	0	2	0	1	0
FBgn0263320	6	8	0	0	0
FBgn0003926	0	0	0	0	0
FBgn0263321	876	912	572	492	540
FBgn0051928	694	721	144	82	293
FBgn0053128	9	4	6	24	24
FBgn0051926	886	660	145	61	162
FBgn0051661	472	450	108	207	371
FBgn0031343	39	29	4	1	1
FBgn0031344	728	794	714	798	671
FBgn0264873	0	0	0	0	0
FBgn0031345	10	16	0	0	0
FBgn0001174	22	1	29	50	1
FBgn0264881	0	2	0	2	0
FBgn0026398	6	1	8	5	6
FBgn0026397	2	3	2	10	4
FBgn0261509	133	99	151	127	189
FBgn0031347	181	315	9	11	9
FBgn0051935	1302	1126	1379	1483	1117
FBgn0031351	300	346	322	444	255
FBgn0021906	14625	16941	13923	11776	13516
FBgn0265814	1	0	0	3	4
FBgn0267259	0	0	0	0	0
FBgn0086758	525	325	699	475	614
FBgn0011570	2771	2582	2985	3356	2709
FBgn0031356	2196	2032	2290	2510	2006
FBgn0266311	16	10	7	13	4
FBgn0031357	546	660	524	610	494
FBgn0086698	588	638	720	843	530
FBgn0031359	3541	2888	3212	2639	3320
FBgn0000579	53692	55534	62097	61268	58589
FBgn0260648	567	729	625	717	545
FBgn0031360	3500	4159	4082	4320	4069
FBgn0031361	603	594	534	612	497
FBgn0264494	6674	5954	5352	4604	5272
FBgn0027597	658	712	715	871	610
FBgn0031364	5	12	0	0	0
FBgn0041249	1	3	0	0	0
FBgn0031365	17	16	11	7	12
FBgn0045497	2	1	1	0	1
FBgn0045498	0	0	0	0	0
FBgn0265138	0	0	0	0	0
FBgn0045500	2	0	0	0	0
FBgn0045501	0	0	0	0	0
FBgn0051933	12	9	0	0	0
FBgn0051664	143	205	213	195	177
FBgn0262275	0	0	0	0	0
FBgn0051665	1284	751	1096	934	1203
FBgn0264882	0	0	0	0	0
FBgn0264883	0	0	0	0	0
FBgn0051663	2482	2425	1747	1429	1576
